#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  0.315839963360287E+01  0.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  -.850362418249491E-05  0.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  0.198793424787487E-06  0.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  -.850296715316399E-05  0.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.315788085567447E+01  0.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  0.609367740274788E-06  0.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  0.202040365439821E-06  0.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  0.625819389308336E-06  0.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.169845919165192E+01  0.000000000000000E+00
     chi_1_1=  0.100000000000000E-01  0.315840285332600E+01  0.877226110746133E-04
     chi_2_1=  0.100000000000000E-01  -.850364107425827E-05  -.460350628847789E-09
     chi_3_1=  0.100000000000000E-01  0.198794175024415E-06  0.204538062657048E-10
     chi_1_2=  0.100000000000000E-01  -.850298404008689E-05  -.460218495544350E-09
     chi_2_2=  0.100000000000000E-01  0.315788407465039E+01  0.877022473666141E-04
     chi_3_2=  0.100000000000000E-01  0.609370171463614E-06  0.662927195398112E-10
     chi_1_3=  0.100000000000000E-01  0.202041146660756E-06  0.213004181093864E-10
     chi_2_3=  0.100000000000000E-01  0.625821973167647E-06  0.704639435366879E-10
     chi_3_3=  0.100000000000000E-01  0.169846023791880E+01  0.284956374179373E-04
     chi_1_1=  0.200000000000000E-01  0.315841251256024E+01  0.175446992858000E-03
     chi_2_1=  0.200000000000000E-01  -.850369174996418E-05  -.920712616291319E-09
     chi_3_1=  0.200000000000000E-01  0.198796425758169E-06  0.409082402978361E-10
     chi_1_2=  0.200000000000000E-01  -.850303470127111E-05  -.920448342940340E-09
     chi_2_2=  0.200000000000000E-01  0.315789373164297E+01  0.175406264941690E-03
     chi_3_2=  0.200000000000000E-01  0.609377465110956E-06  0.132587649605959E-09
     chi_1_3=  0.200000000000000E-01  0.202043490348593E-06  0.426015204465722E-10
     chi_2_3=  0.200000000000000E-01  0.625829724836368E-06  0.140930369867124E-09
     chi_3_3=  0.200000000000000E-01  0.169846337673440E+01  0.569916835245020E-04
     chi_1_1=  0.300000000000000E-01  0.315842861150009E+01  0.263174916164990E-03
     chi_2_1=  0.300000000000000E-01  -.850377621085995E-05  -.138109732164838E-08
     chi_3_1=  0.300000000000000E-01  0.198800177057666E-06  0.613639299061650E-10
     chi_1_2=  0.300000000000000E-01  -.850311913796324E-05  -.138070089476100E-08
     chi_2_2=  0.300000000000000E-01  0.315790982684663E+01  0.263113823039715E-03
     chi_3_2=  0.300000000000000E-01  0.609389621459414E-06  0.198887000887533E-09
     chi_1_3=  0.300000000000000E-01  0.202047396578422E-06  0.639039912899407E-10
     chi_2_3=  0.300000000000000E-01  0.625842644586887E-06  0.211401761982177E-09
     chi_3_3=  0.300000000000000E-01  0.169846860814364E+01  0.854885470291390E-04
     chi_1_1=  0.400000000000000E-01  0.315845115046970E+01  0.350908152022543E-03
     chi_2_1=  0.400000000000000E-01  -.850389445902462E-05  -.184151610568099E-08
     chi_3_1=  0.400000000000000E-01  0.198805429037770E-06  0.818215029871580E-10
     chi_1_2=  0.400000000000000E-01  -.850323735224112E-05  -.184098750502228E-08
     chi_2_2=  0.400000000000000E-01  0.315793236058549E+01  0.350826692187249E-03
     chi_3_2=  0.400000000000000E-01  0.609406640913347E-06  0.265192984399160E-09
     chi_1_3=  0.400000000000000E-01  0.202052865475401E-06  0.852085150190506E-10
     chi_2_3=  0.400000000000000E-01  0.625860732873200E-06  0.281880603266994E-09
     chi_3_3=  0.400000000000000E-01  0.169847593222138E+01  0.113986636682934E-03
     chi_1_1=  0.500000000000000E-01  0.315848012992296E+01  0.438648471775843E-03
     chi_2_1=  0.500000000000000E-01  -.850404649736902E-05  -.230198033131766E-08
     chi_3_1=  0.500000000000000E-01  0.198812181859303E-06  0.102281587567337E-09
     chi_1_2=  0.500000000000000E-01  -.850338934701383E-05  -.230131952990466E-08
     chi_2_2=  0.500000000000000E-01  0.315796133331326E+01  0.438546643228989E-03
     chi_3_2=  0.500000000000000E-01  0.609428524038892E-06  0.331507811643816E-09
     chi_1_3=  0.500000000000000E-01  0.202059897214767E-06  0.106515776165241E-09
     chi_2_3=  0.500000000000000E-01  0.625883990330960E-06  0.352369377698204E-09
     chi_3_3=  0.500000000000000E-01  0.169848534907243E+01  0.142486361299436E-03
     chi_1_1=  0.600000000000000E-01  0.315851555044347E+01  0.526397647194435E-03
     chi_2_1=  0.600000000000000E-01  -.850423232963596E-05  -.276250136437606E-08
     chi_3_1=  0.600000000000000E-01  0.198820435729057E-06  0.122744811846656E-09
     chi_1_2=  0.600000000000000E-01  -.850357512602198E-05  -.276170832847513E-08
     chi_2_2=  0.600000000000000E-01  0.315799674561340E+01  0.526275447433862E-03
     chi_3_2=  0.600000000000000E-01  0.609455271564015E-06  0.397833694775713E-09
     chi_1_3=  0.600000000000000E-01  0.202068492021843E-06  0.127826459462255E-09
     chi_2_3=  0.600000000000000E-01  0.625912417777513E-06  0.422870570041209E-09
     chi_3_3=  0.600000000000000E-01  0.169849685883157E+01  0.170988129775493E-03
     chi_1_1=  0.700000000000000E-01  0.315855741274459E+01  0.614157450578400E-03
     chi_2_1=  0.700000000000000E-01  -.850445196040043E-05  -.322309057428587E-08
